transaction_id,rfid,type_detail,transaction_date
7-1618-1618-20191028144721-101-5774,2077567,return,2019-10-28 14:47:00
7-2350-2350-20191028202409-111-5227,1626959,return,2019-10-28 20:24:00
7-1618-1618-20191030121118-101-6366,1667657,return,2019-10-30 12:11:00
7-1614-1614-20191014142827-103-6971,870473,return,2019-10-14 14:28:00
7-1618-1618-20191004133501-102-304,2985732,return,2019-10-04 13:35:00
7-1618-1618-20191003103957-101-8381,761064,return,2019-10-03 10:39:00
7-2350-2350-20191001153255-111-4445,1821366,return,2019-10-01 15:32:00
7-2350-2350-20191002164321-111-4472,8837256112,return,2019-10-02 16:43:00
7-2350-2350-20191005131612-111-4553,4860526375,return,2019-10-05 13:16:00
7-1618-1618-20191008131052-101-9235,1583832,return,2019-10-08 13:10:00
7-1614-1614-20191021153855-104-8161,1829081,return,2019-10-21 15:38:00
7-1614-1614-20191022182619-103-97,1290036,return,2019-10-22 18:26:00
7-1614-1614-20191014151038-103-7006,552425,return,2019-10-14 15:10:00
7-1618-1618-20191007152916-101-9060,5408015455,return,2019-10-07 15:29:00
7-1618-1618-20191011125350-101-51,1200065,return,2019-10-11 12:53:00
7-1618-1618-20191007144430-101-9025,1345132,return,2019-10-07 14:44:00
7-1618-1618-20191011122005-101-41,605048,return,2019-10-11 12:20:00
7-1618-1618-20191019161401-101-2797,1857006,return,2019-10-19 16:14:00
7-1618-1618-20191004160556-102-398,717592,return,2019-10-04 16:05:00
7-1618-1618-20191006112213-101-8806,654630,return,2019-10-06 11:22:00
7-1618-1618-20191012142613-101-477,1891854,return,2019-10-12 14:26:00
7-1618-1618-20191016112350-101-1407,1160048,return,2019-10-16 11:23:00
7-1614-1614-20191011195451-103-6102,638165,return,2019-10-11 19:54:00
7-1618-1618-20191016125245-101-1450,1861231,return,2019-10-16 12:52:00
7-1618-1618-20191022125831-101-3605,1368795,return,2019-10-22 12:58:00
7-1618-1618-20191010132526-101-9690,224421247,return,2019-10-10 13:25:00
7-1614-1614-20191026152903-101-6747,625023,return,2019-10-26 15:29:00
7-1614-1614-20191028133409-104-39,700180,return,2019-10-28 13:34:00
7-1614-1614-20191022150743-104-8398,2350957,return,2019-10-22 15:07:00
7-1618-1618-20191026103826-101-5026,2059351,return,2019-10-26 10:38:00
7-1618-1618-20191017195410-101-2113,3479618,return,2019-10-17 19:54:00
7-1618-1618-20191016141233-101-1487,630898,return,2019-10-16 14:12:00
7-1618-1618-20191027163344-102-7072,1734107486,return,2019-10-27 16:33:00
7-2350-2350-20191027110243-111-5168,741587,return,2019-10-27 11:02:00
7-1614-1614-20191025214011-103-1135,1865293,return,2019-10-25 21:40:00
7-1614-1614-20191018150328-104-7152,608277,return,2019-10-18 15:03:00
7-1614-1614-20191018150328-104-7152,605029,return,2019-10-18 15:03:00
7-1618-1618-20191018180153-101-2411,1201996,return,2019-10-18 18:01:00
